2017-10-30: ancient apparition, bane, huskar, legion commander, lich, magnataur, obsidian destroyer, riki, sand king, spirit breaker
2017-10-31: alchemist, antimage, batrider, bristleback, crystal maiden, dazzle, huskar, luna, phantom assassin, skeleton king
2017-11-01: abaddon, antimage, bane, bloodseeker, broodmother, jakiro, lone druid, meepo, naga siren, phantom assassin
2017-11-02: centaur, legion commander, pangolier, storm spirit, sven, tidehunter, tiny, undying, venomancer, viper
2017-11-03: earth spirit, faceless void, monkey king, naga siren, phantom assassin, rattletrap, shredder, tidehunter, viper, wisp
2017-11-04: drow ranger, jakiro, juggernaut, life stealer, nyx assassin, pugna, queenofpain, riki, shredder, warlock
2017-11-05: doom bringer, elder titan, life stealer, mirana, night stalker, queenofpain, sand king, tiny, ursa, windrunner
2017-11-06: batrider, brewmaster, centaur, enigma, keeper of the light, magnataur, meepo, nyx assassin, spectre, spirit breaker
2017-11-07: centaur, doom bringer, huskar, jakiro, lone druid, nevermore, obsidian destroyer, omniknight, shadow shaman, techies
2017-11-08: arc warden, broodmother, lina, obsidian destroyer, phantom assassin, phoenix, slardar, tusk, ursa, zuus
2017-11-09: bane, earthshaker, kunkka, nyx assassin, riki, skeleton king, spirit breaker, tusk, warlock, witch doctor
2017-11-10: ancient apparition, arc warden, axe, batrider, centaur, morphling, shadow demon, skywrath mage, viper, visage
2017-11-11: broodmother, dark seer, gyrocopter, legion commander, lion, luna, necrolyte, ogre magi, storm spirit, undying
2017-11-12: ember spirit, enchantress, jakiro, pangolier, sand king, shredder, spirit breaker, sven, treant, warlock
2017-11-13: abaddon, batrider, clinkz, dazzle, juggernaut, pudge, skeleton king, sven, tidehunter, winter wyvern
2017-11-14: bounty hunter, chaos knight, luna, phantom assassin, queenofpain, shadow shaman, sven, templar assassin, tusk, vengefulspirit
2017-11-15: drow ranger, night stalker, ogre magi, phantom lancer, queenofpain, rattletrap, slark, viper, visage, wisp
2017-11-16: chen, earth spirit, gyrocopter, lina, monkey king, pudge, razor, sven, tusk, wisp
2017-11-17: centaur, drow ranger, furion, keeper of the light, morphling, naga siren, queenofpain, shredder, slark, zuus
2017-11-18: bounty hunter, earthshaker, magnataur, necrolyte, omniknight, phantom lancer, phoenix, slardar, venomancer, winter wyvern
